time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,black,"(30.465936119605843, 27.916836561331973, 14.79909955827387)",0
0,0,0,0,0,N/A,darkslategray,"(71.67280319535222, 69.73730936819172, 69.73318809005083)",0
0,0,0,0,0,N/A,darkslategray,"(75.25753378942099, 72.8896045386284, 72.87089938261305)",0
0,0,0,0,0,N/A,darkslategray,"(77.92404619114457, 76.07836225596529, 76.49666645400025)",0
0,0,0,0,0,N/A,dimgray,"(84.01838905775077, 82.8855623100304, 84.42962006079027)",0
0,0,0,0,0,N/A,dimgray,"(84.67691156539418, 83.66228540772532, 84.6426191551841)",0
0,0,0,0,0,N/A,dimgray,"(85.09352051835853, 83.64717872570195, 84.86384989200864)",0
0,0,0,0,0,N/A,dimgray,"(86.17400485693169, 85.24823144335339, 87.98829321085418)",0
0,0,0,0,0,N/A,dimgray,"(85.84706246853337, 84.95712791913559, 88.19553851516207)",0
0,0,0,0,0,N/A,dimgray,"(85.10850639815398, 84.74504405286343, 88.32972781623663)",0
0,0,0,0,0,N/A,dimgray,"(83.90067490970446, 83.48973135430123, 87.27016160923783)",0
0,0,0,0,0,N/A,dimgray,"(83.17955042769047, 82.49746038061137, 86.08689078973543)",0
0,0,0,0,0,N/A,dimgray,"(83.3068080180986, 82.36535223864892, 87.12011364234229)",0
0,0,0,0,0,N/A,dimgray,"(83.52945834653151, 82.68895839932425, 87.2792735719565)",0
0,0,0,0,0,N/A,dimgray,"(83.62631249750476, 82.93327389111427, 87.79802509881159)",0
0,0,0,0,0,N/A,dimgray,"(84.01063545507989, 83.05527497194164, 88.4488001710224)",0
0,0,0,0,0,N/A,dimgray,"(83.88065529242, 82.88546529723, 88.25483122541947)",0
0,0,0,0,0,N/A,dimgray,"(84.1419495396725, 83.80501792114696, 89.1779605031977)",0
0,0,0,0,0,N/A,dimgray,"(85.93864045410494, 85.22806313166275, 90.75575245742766)",0
0,0,0,0,0,N/A,dimgray,"(86.96421782865072, 86.21570586194936, 92.1239958376691)",0
0,0,0,0,0,N/A,dimgray,"(88.42546033504084, 88.09713415478333, 93.82717707323826)",0
0,0,0,0,0,N/A,dimgray,"(88.86942224442224, 88.62448662448662, 94.57362082362083)",0
0,0,0,0,0,N/A,dimgray,"(88.28664012199255, 88.04700384050604, 94.56383429345985)",0
0,0,0,0,0,N/A,dimgray,"(87.08154032880944, 86.52474346242965, 92.39346794659605)",0
0,0,0,0,0,N/A,dimgray,"(85.57401832898522, 85.39246772359355, 91.1654157468727)",0
0,0,0,0,0,N/A,darkslategray,"(78.81496662846357, 77.4008764241893, 82.65210004719208)",0
0,0,0,0,0,N/A,darkslategray,"(69.15858694676362, 67.40910315109076, 72.30189723793279)",0
0,0,0,0,0,N/A,darkslategray,"(59.912175618813734, 58.88668932780282, 63.321079348916605)",0
0,0,0,0,0,N/A,darkslategray,"(58.15675815305134, 58.33517597675169, 65.06567646109139)",0
0,0,0,0,0,N/A,darkslategray,"(56.987058043893505, 59.14220558998947, 67.85254161306669)",0
0,0,0,0,0,N/A,darkslategray,"(55.615957412589665, 57.85897745183184, 66.6750217118595)",0
0,0,0,0,0,N/A,darkslategray,"(56.65155443913243, 59.84633876239094, 68.05504011020177)",0
0,0,0,0,0,N/A,darkslategray,"(57.300939968167214, 61.162757640369584, 68.65074026247035)",0
0,0,0,0,0,N/A,darkslategray,"(61.784953419732545, 65.7405149133781, 72.3700064374294)",0
0,0,0,0,0,N/A,darkslategray,"(63.19477485051256, 67.13441183932987, 73.54717138323696)",0
0,0,0,0,0,N/A,darkslategray,"(65.32747078343674, 68.934522435435, 74.3191566873467)",0
0,0,0,0,0,N/A,darkslategray,"(64.9154948174556, 68.63090967775064, 73.66881964158652)",0
0,0,0,0,0,N/A,darkslategray,"(62.96247444684945, 66.65360825517075, 71.74163134319384)",0
0,0,0,0,0,N/A,darkslategray,"(62.13645668698728, 65.70459471664033, 70.67511477383908)",0
0,0,0,0,0,N/A,darkslategray,"(63.34033596287703, 67.4199313225058, 72.77718051044083)",0
0,0,0,0,0,N/A,darkslategray,"(66.70040003468726, 71.387117450335, 76.51595425805066)",0
