time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,silver,"(190.9761912742305, 202.17278364337187, 189.24838835819227)","(176.5494713160855, 190.22749156355457, 174.66267716535432)","(218.90584821428573, 235.4207142857143, 226.6342857142857)","(156.5007605583393, 161.48783106657123, 141.35178060128848)","(211.64399857954547, 221.26549183238637, 213.98686079545453)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(149.00770528683915, 144.41773903262091, 144.5718335208099)","(133.83478065241846, 129.57385826771653, 127.82749156355456)","(176.62569178852644, 175.54330708661416, 179.10159730033746)","(113.37111361079864, 103.5303487064117, 98.08845894263217)","(172.19923509561306, 169.0234420697413, 173.26978627671542)",90,0,0.9990234375,0
0,0,0,0,0,N/A,gray,"(148.66245535714285, 143.95245535714287, 144.07043526785714)","(133.27544642857143, 128.86044642857144, 126.93651785714286)","(176.71857142857144, 175.67589285714286, 179.19745535714284)","(112.533125, 102.52209821428572, 97.06875)","(172.12267857142857, 168.75138392857144, 173.07901785714284)",90,0,0.99609375,0
0,0,0,0,0,N/A,gray,"(148.06189732142857, 143.6137388392857, 143.9595982142857)","(132.68549107142857, 128.51133928571429, 126.84625)","(176.22303571428571, 175.32120535714284, 179.11361607142857)","(111.74066964285714, 102.07294642857143, 96.70732142857143)","(171.59839285714287, 168.5494642857143, 173.17120535714287)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(147.89804798789174, 143.77609731125355, 144.5175836894587)","(132.68950892857143, 128.8435267857143, 127.60147321428572)","(175.93611607142856, 175.39464285714286, 179.5784375)","(111.73552911931819, 102.47727272727273, 97.47705078125)","(171.30393288352272, 168.48375355113637, 173.51646839488637)",90,0,0.9990234375,0
0,0,0,0,0,N/A,gray,"(147.65510697798297, 143.57009055397728, 144.51645729758522)","(132.3955078125, 128.72953657670453, 127.7796963778409)","(176.4793146306818, 175.89710582386363, 180.3015802556818)","(111.46115944602273, 102.26478160511364, 97.5166015625)","(170.28444602272728, 167.38893821022728, 172.4679509943182)",90,0,0.9970703125,0
0,0,0,0,0,N/A,gray,"(147.6272439865582, 143.7783648744252, 144.8942120622568)","(132.22292258522728, 128.755859375, 127.98517400568181)","(176.07298273431994, 175.89931289640592, 180.4171511627907)","(111.40514026988636, 102.35973011363636, 97.72243430397727)","(170.40772551092317, 167.66102889358703, 172.95533826638479)",90,0,0.9951171875,0
0,0,0,0,0,N/A,gray,"(147.8786712034384, 144.15448155444125, 145.29290159383953)","(132.481097341954, 129.050466954023, 128.36898347701148)","(175.6906878591954, 175.47530531609195, 179.96493354885058)","(111.88709821428571, 102.97352678571428, 98.36915178571428)","(171.52674107142857, 169.21129464285715, 174.56995535714285)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(147.35191330093292, 143.83501480364225, 145.1701804368471)","(132.19770528683915, 128.9555905511811, 128.46339707536558)","(174.84736607142858, 174.69919642857144, 179.33982142857144)","(111.48859162491053, 102.77415891195419, 98.48832319255547)","(170.5462091619318, 168.56556285511363, 173.99391867897728)",90,0,0.9990234375,0
0,0,0,0,0,N/A,lightslategray,"(147.60862745098038, 144.0793613445378, 145.40071708683473)","(132.37075365579304, 129.17079865016873, 128.56917885264343)","(174.7846875, 174.63111607142858, 179.21272321428572)","(111.80679415073116, 103.11370078740157, 98.76499437570304)","(171.07352678571428, 168.9653125, 174.56013392857142)",90,0,0.9990234375,0
