time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,lightslategray,"(131.38795386822648, 137.09979582827503, 149.51429202074826)","(39.67283813747228, 49.77827050997783, 69.44933481152994)","(37.3784882443419, 45.382992748846405, 64.35453746429356)","(216.35343680709533, 219.51662971175168, 226.96141906873615)","(232.08624478136673, 233.6771039332015, 237.26829268292684)",90,0,0.95947265625,0
0,0,0,0,0,N/A,darkgray,"(156.03796262699564, 164.63417694726658, 191.76448355104014)","(75.25919206579584, 89.70095549104983, 137.04009433962264)","(76.13110788582486, 90.19279148524431, 136.93069666182873)","(225.35510401548137, 230.41485244315433, 242.371129656507)","(247.4064465408805, 248.22810836961781, 250.71601354620222)",90,0,1.0,0
0,0,0,0,0,N/A,lightsteelblue,"(158.7982389937107, 172.79107658157602, 202.50774694783573)","(81.12801528540722, 105.34374253642225, 156.26970384523526)","(81.40851013252511, 105.12426457479052, 156.9700481369228)","(224.96079009433961, 231.64876179245283, 244.8435141509434)","(245.70792253521128, 247.32224178403757, 250.78491784037558)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(154.2437816641383, 165.68420299396055, 194.588917193806)","(72.51244239631336, 91.238133640553, 140.8027073732719)","(74.80057603686636, 93.68001152073732, 142.98513824884793)","(222.64834727200318, 229.32929396370255, 242.8953746373101)","(245.02395175513456, 246.68134493940946, 250.37133754338055)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(153.53063894639982, 165.13722107200368, 193.6790027605245)","(70.99282407407408, 90.45434027777777, 139.23043981481482)","(73.70271990740741, 92.58784722222222, 141.35358796296296)","(222.6338591678098, 229.20096021947873, 242.6151691815272)","(244.78863740283492, 246.48805441243712, 250.19861682670324)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(154.1691252886836, 165.9829387990762, 195.0129907621247)","(72.21597222222222, 91.97106481481481, 142.08813657407407)","(74.89199308755761, 94.52367511520737, 144.1195276497696)","(223.48072916666666, 229.90798611111111, 243.06516203703703)","(246.02955069124425, 247.4825460829493, 250.75668202764976)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(153.00061585173728, 164.59398183953482, 193.76864025665262)","(71.64949755957508, 90.66879127189205, 140.2965259833477)","(73.49725651577504, 92.27954961133973, 141.9711362597165)","(222.16313522825152, 229.00568475452195, 242.65265575653171)","(244.63614540466392, 246.37785779606767, 250.13300182898948)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(155.2160381875426, 167.14082381788373, 196.07685388041727)","(73.5626975763962, 93.2416578854935, 143.04958435780352)","(75.12348484848485, 95.5759324009324, 145.8937062937063)","(223.76677648690827, 230.14103231027107, 243.07109415640716)","(246.30891829689298, 247.7180667433832, 250.96219792865364)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(159.45863937387116, 171.62066526189042, 200.21070138470802)","(76.54527272727273, 98.21351515151515, 149.13963636363636)","(81.69193939393939, 102.86515151515151, 154.0058787878788)","(227.6229066985646, 232.97882775119618, 243.96632775119616)","(249.8602272727273, 250.5546052631579, 252.45101674641148)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(160.30665151515151, 172.22437878787878, 200.87206060606061)","(77.96260606060606, 99.16230303030304, 150.62927272727273)","(83.52448484848485, 104.33654545454546, 155.55381818181817)","(228.84490909090908, 233.97345454545456, 244.3421212121212)","(250.89460606060607, 251.42521212121213, 252.9630303030303)",90,0,1.0,0
