time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,black,"(34.5218784782288, 37.73955022730016, 25.341620737283932)","(50.12452292640972, 56.18432510885341, 42.9372681825512)","(37.39711336881148, 42.52203945600172, 27.341504058485192)","(35.998126589053925, 38.40037468218922, 25.519068647129668)","(14.646380302422052, 13.950301083902048, 5.652027298273786)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(116.37699655496398, 122.7187467376553, 123.28892629710826)","(167.07797444490993, 178.7213814411395, 185.07019794721407)","(109.59198751300728, 116.76912070759626, 116.54086888657648)","(109.32920506912443, 112.96274088814411, 112.31949099287809)","(79.79045265348596, 82.72010926118627, 79.55296566077003)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(114.38655883194961, 120.73913411238061, 121.21282825391042)","(168.63461638762843, 180.5589892035675, 187.0872581234027)","(104.10595629270328, 110.61377979450269, 109.71326865905179)","(107.4345974025974, 111.57161038961038, 111.07633766233766)","(77.54693506493507, 80.41093506493506, 77.19194805194805)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(113.7967321634969, 120.21546968582537, 121.22860407691499)","(169.75195024246258, 181.93933164663716, 189.29957305502847)","(101.14379974863846, 107.28977272727273, 106.57347088395476)","(107.80273561037318, 112.30010014758592, 112.53534155597723)","(76.81286656891496, 79.68208001675744, 76.89160033514872)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(113.71081066835336, 120.00679949399114, 121.61388493569471)","(171.36888572633353, 183.9491092135779, 191.76409972591188)","(99.11350938224753, 104.887623866751, 104.18221589711153)","(109.2883459835547, 113.85183428209994, 115.18885726333544)","(75.07250158127768, 77.33863061353574, 75.32036685642)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(118.73623196130426, 126.11070395885245, 131.3592215544925)","(171.89238410596028, 184.65669728690452, 194.34525208288827)","(109.67384105960265, 117.37174214911343, 120.91703161717582)","(112.17160030851885, 117.44612888640656, 122.40737785579404)","(81.384185749621, 85.16827575201468, 87.97824410223676)",90,0,1.0,0
0,0,0,0,0,N/A,gray,"(116.45360474611054, 123.85229103889816, 128.96420906588045)","(175.2763341471922, 188.48860597604929, 199.21855016858504)","(110.24757561764027, 119.60052528284461, 124.27219464326946)","(99.30826458242872, 102.47190620929223, 105.29170646982197)","(81.48881862604196, 85.39735556194309, 87.66800804828974)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(101.50884828701395, 107.3347690075713, 111.26200299224736)","(151.81279340945574, 163.46460914074567, 173.32116788321167)","(86.57037283823485, 94.13474876578732, 97.74034588242421)","(97.91159437775231, 100.29510767931471, 101.55169813597152)","(69.88677082704953, 71.62200639440188, 72.63536828135368)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(99.69022693908984, 105.56204525946782, 110.68776422079432)","(124.76355888429752, 134.01933755165288, 140.79099948347107)","(77.189453125, 83.79815573770492, 87.47873975409836)","(113.22645271248031, 117.65794128050938, 123.61841978325883)","(83.90712508770811, 87.13028640683804, 91.24150028704472)",90,0,0.97900390625,0
0,-14.635,-9.409,145.534,-5.742389056824423,A,dimgray,"(103.41165505132152, 110.29738635396765, 116.1676167786948)","(129.48630563336445, 139.06489262371616, 147.02654839713662)","(77.04023467654778, 84.0869847151459, 88.74225721784777)","(117.82896205357143, 123.63975694444444, 130.709232390873)","(89.60799089566929, 94.73858882874016, 98.56237696850394)",90,0,0.998046875,0
0.05923342704772949,-14.918,-9.279,146.067,-5.831567866865631,A,dimgray,"(103.31091235714558, 109.6806788212361, 115.49544012536789)","(136.13133612204723, 146.2995816929134, 154.88367372047244)","(71.18466186523438, 76.92562866210938, 81.28366088867188)","(118.97870645546739, 124.35295198995067, 131.1037102852416)","(87.32946254863813, 91.55918652723736, 95.15932028210116)",90,0,1.0,0
0.14408087730407715,-15.184,-9.208,146.467,-5.918487105837438,A,dimgray,"(106.122062860073, 112.36671643591832, 117.57990227128766)","(143.6541000484496, 154.0051780523256, 162.92605377906978)","(84.28210444083889, 90.94110930833483, 95.670903190914)","(118.53688226744185, 123.62445494186046, 129.11676356589146)","(78.40234961841236, 81.30617150411634, 83.04684213689082)",90,0,0.99609375,7.309443954646101
0.24947261810302734,-15.064,-9.644,145.229,-5.921931952032678,A,dimgray,"(91.47440809298321, 95.9731740565361, 99.63305352274358)","(120.77409707844491, 128.49384633080285, 134.20163331032896)","(79.94916034046469, 86.6231884057971, 90.65953531170922)","(102.88826831643466, 105.54513948559317, 109.31589047373546)","(62.35636134501919, 63.322105745546196, 64.45632124649138)",90,0,1.0,7.309443954646101
