time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,black,"(8.730182926829269, 8.941542948038176, 21.975896960056556)","(15.5460410038883, 17.045334040296925, 32.483828207847296)","(1.6766525273948392, 1.272887946270767, 8.754418522446095)","(14.60427712972782, 15.049575821845176, 33.646253092965715)","(3.093761046306115, 2.3983739837398375, 13.019088016967126)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(93.30420531849103, 93.33001443001443, 104.98569367140796)","(135.4507992007992, 138.56060606060606, 155.1489343989344)","(43.44130869130869, 42.154595404595405, 47.136696636696634)","(126.21906395491301, 131.1836968063383, 150.27566772849792)","(67.96005880911541, 61.308992893898555, 67.23646165155598)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(100.86637000074477, 101.86916288076264, 116.53641915543308)","(142.4576802507837, 146.55836692043587, 165.9077474249888)","(51.02043697978597, 48.87730380499406, 57.54756242568371)","(135.23384087177192, 142.324973876698, 164.77138378862517)","(75.08093043995244, 70.0830112960761, 78.33969976218788)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(100.53747323340471, 101.61815410300149, 116.23775995354409)","(141.0573943405834, 145.10336800756528, 163.88710264057613)","(52.19411849920324, 49.986962190352024, 58.92423583949007)","(135.16556339564997, 141.64835964210374, 164.00407361606167)","(74.05396204548747, 70.09083007388092, 78.54338693321745)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(100.47031421264158, 101.74870295944464, 116.15474972597735)","(142.2599852616065, 146.45593220338984, 165.66153279292558)","(50.785187914517316, 48.67243920412675, 56.44856300663228)","(135.31659420289856, 142.64797101449275, 164.96304347826086)","(73.38789855072464, 69.07898550724637, 77.37586956521739)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(84.79162909799113, 83.66886067731814, 92.84933458361886)","(130.46133701898597, 131.95089837782788, 145.8265803448025)","(36.357387066269006, 33.82949007056085, 36.31315923474212)","(117.86266094420601, 120.34184549356223, 136.8846208869814)","(54.439055793991415, 48.52725321888412, 52.31366237482117)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(84.75999578755221, 83.6334468353986, 92.02773194790606)","(130.80320833040176, 132.7801308661085, 146.7638077816084)","(35.52970435757321, 32.81189575451871, 35.69847274765308)","(118.0798564694294, 120.95286005769366, 136.29416731161612)","(54.96637242538882, 48.358413899397505, 49.77756760543646)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(84.49696293754289, 83.57553191489362, 91.91537405628003)","(130.0395332875772, 131.6779684282773, 145.41839396019216)","(35.378792038435144, 33.61866849691146, 35.98490048043926)","(117.69347975291696, 120.62210020590254, 135.4805078929307)","(54.87604667124228, 48.38339052848318, 50.777693891557995)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(83.80566949388209, 83.2506430756396, 91.894066323693)","(128.0787680756396, 129.818478865406, 143.42554226918799)","(36.946051167964406, 34.4375, 37.085928809788655)","(116.88751390433815, 120.08398220244716, 135.79136540600666)","(53.310344827586206, 48.66261123470523, 51.273428809788655)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(83.41390681003584, 82.71485663082437, 91.18650537634409)","(127.77916666666667, 129.2887212643678, 142.8580459770115)","(35.920886981402006, 34.566094420600855, 37.21251788268955)","(116.61882183908045, 119.03943965517242, 134.02550287356323)","(53.66967095851216, 48.32095851216023, 51.05557939914163)",90,0,1.0,0
