time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,dimgray,"(114.79891783802859, 119.96941716167736, 112.80291713227078)","(116.48819845857417, 121.3118978805395, 110.58453757225433)","(118.14391762452107, 120.79286398467433, 118.91882183908046)","(120.50612716763005, 128.21664739884392, 120.09988439306359)","(104.30091954022988, 109.69770114942528, 101.79402298850574)",90,0,0.9560546875,0
0,0,0,0,0,N/A,dimgray,"(93.00924260591526, 92.96248001598721, 98.95148880895283)","(92.97816506410257, 91.38060897435898, 95.88802083333333)","(93.76295853269538, 94.86722488038278, 103.90510366826156)","(96.8291266025641, 96.45452724358974, 103.92127403846153)","(88.48484848484848, 89.1566985645933, 92.100677830941)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(93.78198356807512, 93.7641334115806, 99.82462832550861)","(95.6564945226917, 93.52366979655712, 98.56044600938966)","(92.5580985915493, 93.92057902973396, 102.77758215962442)","(99.43485915492958, 98.85739436619718, 106.25293427230046)","(87.47848200312988, 88.75489045383412, 91.70755086071988)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(95.81614841912726, 95.98197021165404, 102.14073686961066)","(96.24860574860575, 94.53024453024453, 100.15915915915916)","(93.48772154601751, 95.80354473628016, 104.24364723467862)","(102.22133497133497, 101.07514332514333, 108.51597051597052)","(91.25132490827558, 92.46147574398695, 95.66979209131675)",90,0,0.9990234375,0
0,0,0,0,0,N/A,dimgray,"(96.0036673553719, 96.25175619834711, 102.45511363636363)","(95.7090909090909, 94.01838842975206, 99.20351239669421)","(94.77231404958678, 96.65681818181818, 105.67995867768595)","(101.60971074380166, 101.42665289256199, 108.32086776859504)","(91.92355371900827, 92.9051652892562, 96.61611570247933)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(96.3285282366915, 96.26293056905301, 102.09275456214232)","(101.49978354978354, 100.02359307359308, 105.64134199134199)","(89.93385046326223, 91.80025856496445, 99.79099332040508)","(107.31298701298701, 106.35454545454546, 113.76017316017317)","(86.64059469941823, 86.93600517129929, 89.2473604826546)",90,0,0.9990234375,0
0,0,0,0,0,N/A,dimgray,"(97.45659085350941, 97.29366593299095, 103.431499144045)","(101.07834101382488, 99.309156481667, 104.54437988379082)","(93.13661747108097, 94.78220981252493, 103.35779816513761)","(105.89304915514593, 104.9445084485407, 112.51267281105991)","(89.74388379204893, 90.16207951070336, 93.40099388379205)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(100.64165733482643, 100.30007050723736, 108.73252872133051)","(112.11492890995261, 110.26134055517942, 117.2557549085985)","(91.6095013477089, 91.30744609164421, 101.89690026954177)","(112.3598627226671, 112.374734433731, 124.31344991011603)","(86.6740403383214, 87.39248536109304, 91.63451528952505)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(102.12842263078987, 101.65272626844472, 110.07969699360847)","(118.85653274280291, 116.43467257197089, 123.44163239481176)","(88.72712958589199, 88.17635018107384, 98.70020469217447)","(116.25561531161026, 115.93356532742803, 127.78345460297375)","(84.81530467642891, 86.19902377578335, 90.53534876397418)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(103.35260834670947, 103.02130818619582, 111.33017656500803)","(119.3030888030888, 117.20382882882883, 124.81692406692407)","(89.33023702754645, 89.47085201793722, 99.30028827674568)","(117.56515444015444, 117.55630630630631, 129.33976833976834)","(87.3472133247918, 87.98302370275465, 92.00496476617553)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(104.51401129943503, 104.1943879472693, 112.40346516007533)","(118.97164750957855, 116.52919540229885, 123.2688122605364)","(91.92045977011495, 91.82114942528736, 102.21532567049809)","(115.76014814814815, 115.71866666666666, 126.83777777777777)","(91.46592592592593, 92.70725925925926, 97.31451851851853)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(104.92634136464872, 104.67884187082406, 112.86807045960721)","(111.64517195767196, 109.5079365079365, 116.38409391534391)","(97.38798353909465, 97.8638683127572, 108.25349794238683)","(113.29193239795919, 113.04512117346938, 123.79575892857143)","(97.41698412698413, 98.28539682539683, 103.06333333333333)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(103.74335585585585, 103.36647897897898, 110.89024024024025)","(113.0539039039039, 110.28663663663664, 116.02612612612613)","(94.77612612612613, 95.3575075075075, 105.2924924924925)","(111.48138138138138, 110.71156156156157, 120.69759759759759)","(95.66201201201201, 97.11021021021021, 101.54474474474475)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(101.84096899224807, 101.50790697674418, 108.33744186046512)","(110.35348837209303, 107.71565891472868, 113.15968992248062)","(93.82248062015503, 94.5367441860465, 103.55193798449612)","(109.5215503875969, 108.98124031007752, 118.22062015503876)","(93.66635658914728, 94.79798449612403, 98.41751937984496)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(101.77465772020324, 101.3295970212931, 108.2582709537292)","(111.82268269534957, 109.15612148054413, 114.64979436887062)","(92.30089749645725, 93.02991654857503, 102.24169422138246)","(110.25168195718655, 109.43119266055047, 118.47155963302752)","(92.8255707762557, 93.75692541856925, 97.75738203957383)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(102.2397019815884, 101.84162895927602, 108.57762521454205)","(111.69324387579965, 109.21266968325791, 114.77874863473241)","(92.9578717428616, 93.83195506319238, 102.6710875331565)","(110.57731315337806, 109.61725698236854, 118.34857232017475)","(93.73037915431425, 94.70463410828522, 98.51209237010454)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(101.79022327720496, 101.55670944291967, 108.16864475929086)","(113.80739064856712, 111.1027149321267, 116.25716440422323)","(91.09592760180996, 91.94464555052791, 100.78476621417798)","(109.74631440665597, 109.23412640490439, 117.82017223762955)","(92.55393373230186, 93.9432199678879, 97.83520653919136)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(100.80623549666892, 100.44733887267012, 107.17437682461262)","(114.86697108066971, 112.19741248097412, 117.56057838660578)","(88.58280060882801, 89.17214611872146, 97.64398782343987)","(110.89365149506554, 109.91677713949035, 118.98040948593312)","(88.94078656650464, 90.51833848873177, 94.54013845927236)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(100.86697247706422, 100.463443895554, 107.04181369089626)","(116.81120986238533, 113.59862385321101, 118.29587155963303)","(87.99483944954129, 88.57755160550458, 97.14177178899082)","(110.17250486516542, 109.62691131498471, 118.3044203502919)","(88.58242980261329, 90.08854601056436, 94.46622185154295)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(100.48294151376147, 100.0603497706422, 106.80483084862385)","(116.27164564220183, 113.17259174311927, 118.27580275229357)","(87.09045298165138, 87.3838876146789, 95.99942660550458)","(110.86496559633028, 110.24512614678899, 119.07296444954129)","(87.70470183486239, 89.43979357798165, 93.87112958715596)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(100.56905127642455, 100.09333625923487, 106.80275766220467)","(117.36173020527859, 114.45879765395894, 120.13049853372434)","(85.29134432929499, 85.64282586483725, 93.90950226244344)","(112.84076246334311, 112.14384164222874, 120.96378299120235)","(86.91388118522843, 88.24740913735221, 92.33163041891694)",90,0,1.0,8.370380182622933
0,0,0,0,0,N/A,dimgray,"(97.95815122377623, 97.32776078088578, 104.24100378787878)","(110.82109557109557, 107.78569347319348, 113.2381993006993)","(85.16754079254079, 85.31555944055944, 93.54443473193473)","(109.11217948717949, 108.20265151515152, 117.39160839160839)","(86.73178904428904, 88.0071386946387, 92.78977272727273)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(99.06167737454419, 98.92790415002605, 106.45494009376628)","(117.04906674208145, 114.4331165158371, 121.89366515837104)","(76.63949887387388, 77.84121621621621, 84.68046171171171)","(116.21376662553133, 115.19648978472507, 125.32894556423969)","(86.36582036582037, 88.21266721266721, 93.87714987714988)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(96.94315432994678, 96.15330188679245, 103.31395137880988)","(123.23306724721819, 119.74201741654572, 126.31555394291243)","(70.04608127721335, 70.17162554426706, 76.58490566037736)","(115.9351717464925, 114.78616352201257, 124.89683115626512)","(78.55829704886308, 79.91340106434446, 85.45851475568456)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(87.3422596820655, 85.42811799850635, 92.13760268857357)","(136.49859762675297, 131.48899676375405, 137.7200647249191)","(41.964832793959005, 40.812189859762675, 44.94066882416397)","(116.58252427184466, 113.69311945968764, 123.12325875897002)","(54.40523427606585, 55.749577880962434, 62.73132123258759)",90,0,0.9990234375,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(87.35670307845085, 85.59885799404171, 92.11519364448858)","(138.11692091529505, 132.92472902448816, 139.43496587715777)","(43.97159775190686, 42.4313528703332, 45.417904456041754)","(114.80886399371069, 112.09925314465409, 121.66401336477988)","(52.68307783018868, 55.026729559748425, 61.95685927672956)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(87.79831223628692, 86.25418154278914, 91.80051931191171)","(135.30483108699457, 130.39830211797656, 135.0276562226501)","(44.855973528387324, 43.892284918146984, 47.0964820619993)","(112.89950959304826, 111.95268003097307, 122.529553471565)","(58.57293271700051, 59.152627974661875, 62.89316897791474)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(95.27567733990148, 93.8391420361248, 100.2561986863711)","(107.26473008558261, 102.84265964450296, 106.85278143515471)","(88.02539318479685, 90.12852228047183, 96.73353538663171)","(103.96231073074391, 101.41030283080974, 110.1017116524029)","(81.94511795543906, 81.05111402359108, 87.41218872870249)",90,0,1.0,11.637151949732882
0,0,0,0,0,N/A,dimgray,"(87.52986418628302, 85.7109773926309, 92.60302561603491)","(85.4173525377229, 82.00317215363512, 84.70121742112482)","(88.82812766683735, 90.47371565113501, 99.67033623485236)","(93.7493265993266, 90.18518518518519, 97.41565656565656)","(82.12894847088396, 80.20485965647256, 88.59614578969418)",90,0,1.0,11.637151949732882
