time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,dimgray,"(106.79903254177661, 111.40060629877055, 93.1940530324295)","(117.46545836616758, 125.65289504296597, 104.08026567601036)","(143.65473376111674, 156.68970693084168, 138.16225749559084)","(81.57271369914147, 76.13064576334453, 57.03833519970138)","(84.75334079880552, 87.44255319148937, 73.78932437476671)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(155.7519406575782, 152.91556535685646, 156.46329591018446)","(183.01696872493986, 187.65879711307136, 191.36083400160385)","(199.00901363271853, 207.81796311146752, 215.92766639935846)","(124.64548516439454, 110.16433039294306, 107.68250200481155)","(116.33629510825982, 106.02117080994387, 110.88218123496391)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(155.84514033680833, 153.23786688051322, 156.63364073777066)","(183.27451483560546, 187.77988773055333, 191.47836407377707)","(198.58562951082598, 207.4007056936648, 215.3712269446672)","(124.77812349639134, 110.68218123496392, 107.81918203688853)","(116.74229350441058, 107.08869286287089, 111.8657898957498)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(155.97145148356054, 153.30063352044908, 156.64602245388934)","(183.06732959101845, 187.87329591018445, 191.48574178027266)","(198.48266238973537, 207.32638331996793, 215.25886126704088)","(125.14761828388131, 110.82200481154771, 107.89273456295108)","(117.18819566960705, 107.18085004009623, 111.9467522052927)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(155.82537803024243, 152.89283142651414, 156.149531962557)","(182.68461908580593, 187.41058540497193, 191.11685645549318)","(198.502646351243, 207.30707297514033, 215.3007858861267)","(125.04722222222222, 110.33789910600255, 107.3794061302682)","(117.3889527458493, 106.92749042145594, 111.2368135376756)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(157.65568764401496, 155.50631074540945, 160.22446001865717)","(183.88930232558138, 189.30287089013632, 194.65231756214916)","(199.4365721567378, 209.07250716788786, 218.16527556546671)","(127.40255427841635, 113.24469987228608, 111.66133461047254)","(120.1808409436834, 110.75057077625571, 116.7486364789447)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(157.40418886352106, 155.05122716894977, 159.79028729071538)","(183.54965753424656, 188.86009639776762, 194.19342973110096)","(199.18033358701166, 208.8199518011162, 217.98500126839167)","(126.8611428209031, 112.28684677828514, 110.53576864535769)","(120.02562151192288, 110.23801369863014, 116.44694951801117)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(156.92649866361208, 154.93757954690085, 159.77000604556446)","(182.8816411238825, 188.60858876117496, 193.80938697318007)","(198.6771626078133, 208.5999809741248, 217.8831811263318)","(126.71069604086846, 112.48368454661558, 111.08946360153257)","(119.40731227803145, 109.99790715372907, 116.19771055301877)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(156.8875286368843, 154.9152348224513, 159.59435853379154)","(182.77250957854406, 188.33441890166029, 193.7926245210728)","(198.47418822932522, 208.46315322171486, 217.5785134449518)","(126.70201149425287, 112.51210089399744, 110.5999680715198)","(119.57194951801117, 110.28973236935566, 116.30498477929984)",90,0,1.0,0
0,0,0,0,0,N/A,darkgray,"(156.94676721394936, 154.7710640193458, 159.4630425098638)","(182.6145913154534, 188.30204342273308, 193.61232439335888)","(198.435565702689, 208.30324074074073, 217.4538939624556)","(126.82084929757343, 112.29600893997446, 110.40577905491699)","(119.88552765093861, 110.1217021816337, 116.27806316590564)",90,0,1.0,0
