time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,dimgray,"(88.13903841961395, 98.89972497526455, 94.17313142492999)",0
0,0,0,0,0,N/A,black,"(19.296159106450876, 31.016110912110456, 44.728621902373895)",0
0,0,0,0,0,N/A,darkslategray,"(37.95334174022699, 39.740055026940276, 51.62101832593636)",0
0,0,0,0,0,N/A,darkslategray,"(38.54685880749741, 40.781842365094775, 52.97047711527634)",0
0,0,0,0,0,N/A,darkslategray,"(38.15676676264911, 40.20709995886467, 52.20337309749075)",0
0,0,0,0,0,N/A,darkslategray,"(35.29858169999015, 38.993844183985026, 48.13519813519814)",0
0,0,0,0,0,N/A,darkslategray,"(36.28570009930487, 39.74746772591857, 48.58237338629593)",0
0,0,0,0,0,N/A,darkslategray,"(37.42216981132076, 40.92473591549296, 49.97908085304279)",0
0,0,0,0,0,N/A,darkslategray,"(37.374723039033995, 40.697505086197665, 49.732280675743574)",0
0,0,0,0,0,N/A,darkslategray,"(37.98594677609796, 41.47139401045322, 50.78987870631074)",0
0,0,0,0,0,N/A,darkslategray,"(37.98593901696533, 41.56550821938095, 50.91071399187112)",0
0,0,0,0,0,N/A,darkslategray,"(37.292309890232, 41.009429095267194, 50.79459969998333)",0
0,0,0,0,0,N/A,darkslategray,"(32.07087748248509, 35.2754400440044, 44.0442215274159)",0
0,0,0,0,0,N/A,black,"(28.755608470468534, 31.653189850699867, 39.52707257272464)",0
0,0,0,0,0,N/A,black,"(12.856846641730362, 13.654727055889847, 15.911848810104624)",0
0,0,0,0,0,N/A,black,"(7.080109793384601, 7.6955434077642915, 8.6020626795145)",0
0,0,0,0,0,N/A,black,"(5.536700599637428, 5.985815088551108, 6.550026495607307)",0
0,0,0,0,0,N/A,black,"(4.737671404404511, 5.014616968972161, 5.306470819725753)",0
0,0,0,0,0,N/A,black,"(4.750927182976245, 5.043063943115439, 5.339117498660591)",0
0,0,0,0,0,N/A,black,"(6.156494266682344, 6.556113919973826, 7.112570356472795)",0
0,0,0,0,0,N/A,black,"(12.837475083056479, 13.830885935769656, 16.89449058693245)",0
0,0,0,0,0,N/A,black,"(27.683539094650207, 30.910015734688937, 39.54687121762285)",0
0,0,0,0,0,N/A,darkslategray,"(31.47004230565838, 34.843528556319406, 44.120624008461135)",0
