time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,N/A,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",90,0,0,0
0,0,0,0,0,N/A,black,"(2.108396140918425, 5.494682864714182, 11.227426552408485)","(1.926925212884117, 4.862504627915587, 9.325527582376898)","(3.756711102994887, 8.595005478451425, 16.06085646457268)","(0.6637147733038145, 1.8885199022185324, 4.816521378165214)","(2.069205569205569, 6.583765583765584, 14.604422604422604)",90,0,0.931640625,0
0,0,0,0,0,N/A,black,"(2.5097148479679006, 5.797000888105141, 10.832243966954822)","(1.3875411184210527, 3.7054636101973686, 7.2979286595394735)","(5.889356385148919, 11.137010403916769, 19.010276417788656)","(0.2654969262295082, 0.8484118852459016, 1.8460553278688525)","(2.4777989579362054, 7.453246918286949, 15.092972423433727)",90,0,0.9931640625,0
0,0,0,0,0,N/A,black,"(1.4821466723640637, 3.175842591603461, 5.988743189830147)","(1.0855855855855856, 2.4037162162162162, 4.372774560274561)","(1.8021121515216003, 5.928043200680996, 12.220472440944881)","(2.740830115830116, 2.8921063921063923, 4.272549335049335)","(0.3068472015322409, 1.4711906788678442, 3.062938923175144)",90,0,0.9541015625,0
0,0,0,0,0,N/A,black,"(1.652315247086489, 3.2762803886986895, 6.0170902929072865)","(0.4101165799504744, 1.785982582565872, 3.4428925182938706)","(1.1029980123674912, 5.00549359540636, 11.226838560070671)","(4.761090163025396, 4.836170566707331, 6.413884884107796)","(0.3433648767605634, 1.4789007482394365, 2.977085167253521)",90,0,0.5966796875,0
0,0,0,0,0,N/A,black,"(1.652315247086489, 3.2762803886986895, 6.0170902929072865)","(0.4101165799504744, 1.785982582565872, 3.4428925182938706)","(1.1029980123674912, 5.00549359540636, 11.226838560070671)","(4.761090163025396, 4.836170566707331, 6.413884884107796)","(0.3433648767605634, 1.4789007482394365, 2.977085167253521)",90,0,0,0
0,0,0,0,0,N/A,black,"(1.652315247086489, 3.2762803886986895, 6.0170902929072865)","(0.4101165799504744, 1.785982582565872, 3.4428925182938706)","(1.1029980123674912, 5.00549359540636, 11.226838560070671)","(4.761090163025396, 4.836170566707331, 6.413884884107796)","(0.3433648767605634, 1.4789007482394365, 2.977085167253521)",90,0,0,12.008278829246887
0,0,0,0,0,N/A,black,"(6.144856304985337, 9.196674486803518, 16.563800586510265)","(3.976117302052786, 6.636246334310851, 14.147941348973607)","(13.294310850439883, 17.304398826979472, 28.74606451612903)","(0.06066862170087976, 0.3719882697947214, 0.4395073313782991)","(7.2483284457478, 12.474064516129033, 22.921689149560116)",90,0,0.8271484375,12.008278829246887
