time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,black,"(21.85364480720518, 23.159057257186213, 23.902054601745004)",0
0,0,0,0,0,N/A,black,"(0.72150399543379, 1.0568921232876711, 7.714083904109589)",0
0,0,0,0,0,N/A,black,"(0.012469818274240691, 0.17856462066336257, 0.06331808361926547)",0
0,0,0,0,0,N/A,black,"(4.45231288981289, 1.7908004158004158, 4.261093425155925)",0
0,0,0,0,0,N/A,black,"(8.622560098623381, 5.111184165468119, 8.23086089993836)",0
0,0,0,0,0,N/A,black,"(5.881798547025329, 3.058189111104878, 6.1347507783792885)",0
0,0,0,0,0,N/A,black,"(3.6038567883729176, 3.353647642679901, 4.589634881247784)",0
0,0,0,0,0,N/A,black,"(6.040440821505911, 5.479000289651177, 7.472338312574999)",0
0,0,0,0,0,N/A,black,"(6.823507761588257, 6.344714109419992, 8.200632185152308)",0
0,0,0,0,0,N/A,black,"(6.844312513840411, 6.313831974776181, 7.969756725121532)",0
0,0,0,0,0,N/A,black,"(7.602777137057711, 7.090870507911611, 8.529076901785302)",0
0,0,0,0,0,N/A,black,"(6.819957734573119, 6.3784108199492815, 7.855604395604396)",0
0,0,0,0,0,N/A,black,"(6.791920812325918, 6.322594577442443, 7.8312061488559035)",0
0,0,0,0,0,N/A,black,"(6.98367916514986, 6.404623225336731, 8.000806074158822)",0
0,0,0,0,0,N/A,black,"(3.3227108604811555, 3.3376810418272544, 4.180216912112729)",0
0,0,0,0,0,N/A,black,"(1.5261516968788333, 1.7219912770887285, 2.060932601880878)",0
0,0,0,0,0,N/A,black,"(1.8526816048543844, 2.012230772877392, 2.3535033105257335)",0
0,0,0,0,0,N/A,black,"(3.0364156187351923, 3.364046078610048, 4.316425946175809)",0
0,0,0,0,0,N/A,black,"(3.0843805309734513, 3.4876106194690264, 4.6400221238938055)",0
0,0,0,0,0,N/A,black,"(3.8930545365615066, 4.141424146082987, 5.321879840221733)",0
0,0,0,0,0,N/A,black,"(19.26877786616839, 17.361802305144952, 20.33354762917877)",0
0,0,0,0,0,N/A,black,"(25.055319395806084, 22.444717522467407, 27.086473144593054)",0
0,0,0,0,0,N/A,black,"(28.108913700645132, 24.009972318419255, 27.008785137655057)",0
0,0,0,0,0,N/A,black,"(27.845860807567743, 23.34595400638412, 24.785182553181574)",0
0,0,0,0,0,N/A,black,"(27.293109500940826, 22.870699581542954, 24.259654000617857)",0
0,0,0,0,0,N/A,black,"(24.49648236226714, 20.851053639846743, 22.416295085216014)",0
0,0,0,0,0,N/A,black,"(22.044011212644314, 18.972918613306305, 20.68194415849738)",0
0,0,0,0,0,N/A,black,"(18.1592936802974, 15.48543990086741, 17.399628252788105)",0
0,0,0,0,0,N/A,black,"(18.573610015291052, 15.702501728098532, 17.927112644095487)",0
0,0,0,0,0,N/A,black,"(19.99164054336468, 17.107007575757574, 19.818808777429467)",0
0,0,0,0,0,N/A,black,"(19.77646331037263, 18.485538927774574, 22.06332844462671)",0
0,0,0,0,0,N/A,black,"(20.201233365790326, 20.33676344752294, 25.392021480629076)",0
0,0,0,0,0,N/A,black,"(19.708714558799922, 19.757117424739892, 24.93130645420187)",0
0,0,0,0,0,N/A,black,"(21.551993164691712, 21.936570300025213, 28.1197369526851)",0
0,0,0,0,0,N/A,black,"(20.58569909245604, 21.05429665343165, 27.15835933068633)",0
0,0,0,0,0,N/A,black,"(11.809772423025436, 11.98230113436201, 16.197886281969986)",0
0,0,0,0,0,N/A,black,"(3.480880583546398, 3.7079761367624204, 4.516869704717501)",0
0,0,0,0,0,N/A,black,"(1.8087167763855228, 2.051129559921392, 2.1730292144359074)",0
0,0,0,0,0,N/A,black,"(1.192034446833507, 1.3989814465896748, 1.3262972978963934)",0
0,0,0,0,0,N/A,black,"(1.2855811702686284, 1.4731474521997878, 1.455921872265066)",0
0,0,0,0,0,N/A,black,"(2.9755017709563165, 3.0115362295639647, 2.860304564464811)",0
0,0,0,0,0,N/A,black,"(7.349639343615247, 7.363587026237629, 7.546717582862161)",0
0,0,0,0,0,N/A,black,"(12.944667872835359, 14.129242698371673, 18.977311966916517)",0
0,0,0,0,0,N/A,black,"(17.14539775215297, 18.12329878849803, 24.563608232374836)",0
0,0,0,0,0,N/A,black,"(20.01441596546958, 20.460056014937315, 26.852718300637747)",0
0,0,0,0,0,N/A,black,"(24.03212121212121, 25.047551515151515, 32.960727272727276)",0
0,0,0,0,0,N/A,black,"(25.85622062636443, 27.40309846130435, 36.12989072861248)",0
0,0,0,0,0,N/A,black,"(27.957460687245195, 30.127262667443215, 40.13150262085032)",0
0,0,0,0,0,N/A,darkslategray,"(29.67735135135135, 32.32231831831832, 43.01563963963964)",0
0,0,0,0,0,N/A,darkslategray,"(29.92414815335583, 32.59908722347207, 43.36632335020622)",0
0,0,0,0,0,N/A,darkslategray,"(30.10037276426935, 32.72446792745346, 43.39343729694607)",0
0,0,0,0,0,N/A,black,"(29.506631361345317, 31.886721018279793, 42.036530555362)",0
0,0,0,0,0,N/A,black,"(29.77509093915344, 32.185533588435376, 42.59131117724868)",0
0,0,0,0,0,N/A,darkslategray,"(29.855030345471523, 32.38891806722689, 43.01114612511671)",0
0,0,0,0,0,N/A,darkslategray,"(30.03232859141791, 32.67927938432836, 43.507806669776116)",0
0,0,0,0,0,N/A,darkslategray,"(30.27733727044928, 33.09334376433773, 43.908497347152455)",0
0,0,0,0,0,N/A,darkslategray,"(30.795015170714127, 33.66086769509771, 44.60746213134002)",0
0,0,0,0,0,N/A,darkslategray,"(31.059680905935057, 33.86367508736547, 44.593088420235176)",0
0,0,0,0,0,N/A,darkslategray,"(30.529573988118436, 33.17818209734377, 43.77716755837437)",0
0,0,0,0,0,N/A,darkslategray,"(30.84571261340357, 33.566297922153936, 44.30729294702956)",0
0,0,0,0,0,N/A,darkslategray,"(31.409013605442176, 34.33006593048178, 45.42583985649054)",0
0,0,0,0,0,N/A,darkslategray,"(31.70072803809261, 34.84881995721482, 46.20854898442712)",0
0,0,0,0,0,N/A,darkslategray,"(31.705442078879894, 34.90555155426234, 46.18374002477601)",0
0,0,0,0,0,N/A,darkslategray,"(31.594839343504393, 34.74275312066574, 46.00692325473879)",0
0,0,0,0,0,N/A,darkslategray,"(31.541822096343374, 34.627152988855116, 45.7901181265543)",0
0,0,0,0,0,N/A,darkslategray,"(31.350792192881745, 34.363679678530424, 45.433605051664756)",0
0,0,0,0,0,N/A,darkslategray,"(31.04765212399541, 34.02261194029851, 45.09721584385763)",0
0,0,0,0,0,N/A,darkslategray,"(31.077055499203013, 34.096751195478916, 45.24171569337777)",0
0,0,0,0,0,N/A,darkslategray,"(31.091296604814154, 34.238524731429884, 45.21887746308956)",0
0,0,0,0,0,N/A,darkslategray,"(30.546476299257566, 33.56462021701885, 44.36956025128498)",0
0,0,0,0,0,N/A,darkslategray,"(29.817442958119404, 32.72639467685861, 43.330319112195795)",0
0,0,0,0,0,N/A,black,"(29.02358208955224, 31.728920105355574, 42.06635645302897)",0
0,0,0,0,0,N/A,black,"(28.227462792345854, 30.8353236475313, 40.86415662650602)",0
0,0,0,0,0,N/A,black,"(27.958770053475934, 30.538841354723708, 40.58867498514557)",0
0,0,0,0,0,N/A,black,"(28.51962545497241, 31.17354702359986, 41.41981918515909)",0
0,0,0,0,0,N/A,darkslategray,"(29.657819955094023, 32.566095986528204, 43.424753251005704)",0
0,0,0,0,0,N/A,darkslategray,"(31.710990928951368, 35.201753656914896, 46.81014318958967)",0
0,0,0,0,0,N/A,darkslategray,"(31.155295755713464, 34.392422460149795, 45.432680766276164)",0
0,0,0,0,0,N/A,darkslategray,"(32.746732468265826, 36.11261955460395, 47.61218427584909)",0
0,0,0,0,0,N/A,darkslategray,"(32.97801753747929, 36.46081776146026, 48.16542842133823)",0
0,0,0,0,0,N/A,darkslategray,"(32.786862413162495, 36.59691546401091, 48.802517225955846)",0
