time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score,fpsvalue
0,0,0,0,0,N/A,dimgray,"(109.51298171065254, 117.50027747167807, 112.61339474706475)","(109.46987109182523, 122.88061290989144, 116.49922909414589)","(124.3357637680701, 138.06734571220701, 134.62754246670673)","(82.27210592405385, 83.37262568944415, 77.38691526393592)","(121.83911681903015, 125.53821212792205, 121.78474045487616)",90,0,1.0,0
0,0,0,0,0,N/A,darkslategray,"(71.67658115174925, 67.7590283407245, 71.71399392812296)","(83.2310492267099, 81.05615691510499, 83.3173906823709)","(73.75462940886621, 72.827809832626, 78.3633112393305)","(58.3287237931747, 50.14183078219128, 52.12736636307282)","(71.39192217824615, 67.01031583297569, 73.04790742771765)",90,0,1.0,0
0,0,0,0,0,N/A,darkslategray,"(74.19743978736946, 70.30241811202332, 74.2079672408065)","(85.1402733118971, 83.00996784565916, 85.29048231511254)","(76.56580441842236, 75.51661307609861, 81.47063716785846)","(59.468445512820516, 51.52304487179487, 53.01517628205128)","(75.63888888888889, 71.18707743334609, 77.06389526725347)",90,0,1.0,0
0,0,0,0,0,N/A,darkslategray,"(82.97200777959408, 79.02402287741572, 85.07538172113576)","(92.61918530351437, 90.95220447284345, 95.39345047923322)","(84.22411902150589, 83.50186765851255, 92.41296711331522)","(68.4929617834395, 60.05541401273885, 62.54941082802548)","(86.56228412079729, 81.60363786164717, 89.94102734733974)",90,0,1.0,0
0,0,0,0,0,N/A,darkslategray,"(83.58113924449769, 79.51211610014505, 85.84742936873305)","(91.94857160875323, 90.31583843097685, 94.96533076874566)","(85.52576149334679, 84.80489689096298, 94.0599892791827)","(68.10027117361417, 59.46435328246201, 62.2159456391499)","(88.7499527022766, 83.46337579617834, 92.14845178785394)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(84.55194115862906, 80.34051689733889, 86.34580479862076)","(91.60435937650034, 90.19953269532375, 95.01582754537016)","(86.3199203821656, 85.56751592356687, 94.73581210191082)","(65.65272220977499, 57.32047178567999, 59.88110936849854)","(94.57152866242038, 88.20874203821656, 95.66149681528663)",90,0,1.0,0
0,0,0,0,0,N/A,dimgray,"(87.78581746031746, 82.86786904761905, 88.4880119047619)","(90.63544444444445, 89.2132380952381, 94.04601587301588)","(86.76084126984126, 85.92046031746031, 95.07457142857143)","(64.91453968253968, 55.05833333333333, 55.5675873015873)","(108.83244444444445, 101.27944444444445, 109.26387301587302)",90,0,0.9990234375,0
0,-9.425,-10.52,103.349,-5.210622071923073,A,dimgray,"(88.6080139511234, 87.2671568627451, 94.8321932500715)","(86.77240896358543, 85.68110198624905, 89.7760376878024)","(83.96420613700026, 83.21740514387574, 91.0855774127833)","(80.72396725680564, 77.88381242464624, 84.48932356113967)","(102.95050447363411, 102.2680690399137, 113.94934640522875)",90,0,0.998046875,0
0.06813240051269531,-9.669,-10.858,103.242,-5.350150088375691,A,dimgray,"(86.7991294859935, 85.3623979063387, 92.41012595175407)","(85.1639502653045, 84.19307832422587, 88.4335946780708)","(81.67648689316545, 81.12007602755999, 89.09311792191336)","(83.79179691200152, 80.3744908591456, 84.86994411291086)","(96.54219948849105, 95.74426131160999, 107.22001199835812)",90,0,0.9990234375,0
0.16568708419799805,-9.796,-11.168,103.161,-5.424496924182846,A,darkslategray,"(81.31212374249473, 79.07822179808342, 85.22764722255359)","(84.19813140734364, 83.03357727077055, 87.17708582452448)","(74.7273102310231, 73.80823178471694, 81.94162541254126)","(83.7912501395067, 78.77706031472712, 80.48328311091979)","(82.55759710586443, 80.7115860624524, 91.29515740035542)",90,0,0.998046875,0
