time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,darkslategray,"(24.950259857643204, 35.44136255790306, 44.58945316913343)",0
0,0,0,0,0,N/A,black,"(9.563707549578687, 9.617513547252248, 15.636039946662127)",0
0,0,0,0,0,N/A,black,"(9.278551985324576, 9.788493401976448, 16.30737025859518)",0
0,0,0,0,0,N/A,black,"(9.847238372093024, 10.213531976744186, 16.994781976744186)",0
0,0,0,0,0,N/A,black,"(9.806941526610645, 10.240123132586367, 17.066599556489262)",0
0,0,0,0,0,N/A,black,"(9.703337737691733, 10.112698914229908, 17.020753145286378)",0
0,0,0,0,0,N/A,black,"(9.630443456452348, 9.999330255357957, 16.86592282261742)",0
0,0,0,0,0,N/A,black,"(9.697432605905007, 9.980758807588076, 16.70007131650264)",0
0,0,0,0,0,N/A,black,"(9.67989222915485, 9.910209869540555, 16.64034316505956)",0
0,0,0,0,0,N/A,black,"(9.633110504967707, 10.001059965798436, 16.665559591277187)",0
0,0,0,0,0,N/A,black,"(10.051822259601906, 10.37251191477432, 17.440608354359405)",0
0,0,0,0,0,N/A,black,"(10.125125544024105, 10.443477290480972, 17.61501227541569)",0
0,0,0,0,0,N/A,black,"(10.074605431933524, 10.24139757961073, 17.081660253192794)",0
0,0,0,0,0,N/A,black,"(10.277231423970555, 10.533773291925465, 17.34699217851392)",0
0,0,0,0,0,N/A,black,"(10.316670528266913, 10.653788229842446, 17.69087407321594)",0
0,0,0,0,0,N/A,black,"(10.35942607538546, 10.845208134455726, 17.773438629986405)",0
0,0,0,0,0,N/A,black,"(10.662292075590642, 11.030244852930641, 18.0212473315472)",0
0,0,0,0,0,N/A,black,"(10.754231331533964, 11.100258659469185, 18.071257872244715)",0
0,0,0,0,0,N/A,black,"(10.608635898298905, 11.08324568415443, 18.052266958363134)",0
0,0,0,0,0,N/A,black,"(10.685103769766501, 10.967787408058731, 17.882189563008556)",0
0,0,0,0,0,N/A,black,"(10.541982466063349, 10.875678733031675, 17.8912471719457)",0
0,0,0,0,0,N/A,black,"(10.49835634451019, 10.889046108109653, 17.847282966012063)",0
0,0,0,0,0,N/A,black,"(10.428327596098681, 10.884122203098107, 17.9157487091222)",0
0,0,0,0,0,N/A,black,"(10.568886549840691, 10.841090122894856, 17.922934683659534)",0
0,0,0,0,0,N/A,black,"(9.303288447909285, 9.609099929128277, 16.08995038979447)",0
0,0,0,0,0,N/A,black,"(7.944165506378071, 8.116338269833903, 13.90603771992743)",0
0,0,0,0,0,N/A,black,"(7.633697040368705, 8.04042423232828, 13.633197290243768)",0
0,0,0,0,0,N/A,black,"(7.21733300154833, 7.510492700729927, 12.386667772616677)",0
0,0,0,0,0,N/A,black,"(6.328215654077723, 6.503557744937055, 10.325506294471811)",0
0,0,0,0,0,N/A,black,"(5.652319363263276, 5.701902748414376, 8.745180947643329)",0
0,0,0,0,0,N/A,black,"(7.334441059724915, 7.306696616306143, 10.686328810117235)",0
0,0,0,0,0,N/A,black,"(8.159176029962547, 7.493919365499009, 9.700594844679445)",0
0,0,0,0,0,N/A,black,"(6.9693944912360575, 6.189722285454131, 7.778716139312543)",0
0,0,0,0,0,N/A,black,"(2.032145389151147, 2.2907033713175746, 2.762082620048071)",0
0,0,0,0,0,N/A,black,"(1.1120042027843446, 1.3885517905612468, 1.5205060852814989)",0
0,0,0,0,0,N/A,black,"(1.3091888021974811, 1.56273194821893, 1.69427398381111)",0
0,0,0,0,0,N/A,black,"(1.4680423666910154, 1.925383491599708, 2.4184928171414657)",0
0,0,0,0,0,N/A,black,"(4.2997804719852315, 4.667876565384423, 4.755862395848925)",0
0,0,0,0,0,N/A,black,"(5.377351899588041, 5.736340311739623, 5.631465465320773)",0
0,0,0,0,0,N/A,black,"(9.350912778904664, 9.74658553076403, 9.81130831643002)",0
