time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score
0,0,0,0,0,N/A,darkslategray,"(70.75145544111061, 68.26787580235856, 72.63994626063591)","(114.45732838589981, 114.00092764378479, 123.60698824984539)","(27.25633889919604, 24.7708719851577, 24.09585652442795)","(111.33391053391054, 110.24819624819625, 119.80865800865801)","(29.97229437229437, 24.2005772005772, 23.20981240981241)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(65.98219178082192, 64.61735159817351, 67.953500761035)","(105.58173515981736, 105.41217656012176, 114.01978691019787)","(27.139421613394216, 25.736681887366817, 23.676712328767124)","(102.63531202435313, 102.2392694063927, 110.82130898021309)","(28.572298325722983, 25.081278538812786, 23.296194824961947)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(67.63090831435079, 65.22472949886105, 68.31805239179954)","(109.15353881278538, 107.60730593607306, 115.71775114155251)","(28.01846590909091, 24.78181818181818, 22.555965909090908)","(104.71004566210046, 104.5773401826484, 112.72802511415524)","(28.998863636363637, 24.303977272727273, 22.68778409090909)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(66.29201061320755, 63.84021226415094, 68.87035672169812)","(106.60229952830188, 105.92158018867924, 114.14209905660377)","(26.5, 23.25501179245283, 24.2844929245283)","(104.25707547169812, 103.16715801886792, 112.88119103773585)","(27.80866745283019, 23.017099056603772, 24.17364386792453)",90,0,0.9990234375
0,0,0,0,0,N/A,darkslategray,"(65.61836674528301, 64.43469929245283, 68.15278596698113)","(105.62411556603773, 106.17511792452831, 113.91362028301887)","(26.341686320754718, 23.887676886792452, 22.71137971698113)","(103.09758254716981, 103.64946933962264, 112.86350235849056)","(27.41008254716981, 24.026533018867923, 23.12264150943396)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(64.41684282304807, 62.94653937947494, 66.91510398908967)","(101.7565437658317, 101.11426963129749, 109.72389529974669)","(26.961624649859942, 25.163305322128853, 23.266666666666666)","(101.27644869750132, 101.00877192982456, 110.78070175438596)","(28.00978835978836, 24.874074074074073, 24.243915343915344)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(59.75534052453469, 59.08296319796954, 61.827887055837564)","(94.55520304568527, 94.98434856175973, 102.3441201353638)","(21.417089678510997, 20.66285956006768, 19.455795262267344)","(96.37288494077835, 96.23286802030456, 103.57296954314721)","(26.676184433164128, 24.451776649746193, 21.938663282571913)",90,0,0.998046875
0,0,0,0,0,N/A,darkslategray,"(57.4073534175575, 55.60393046107332, 58.7713529856387)","(88.74228395061728, 88.4052028218695, 95.0544532627866)","(19.107804232804234, 17.751763668430335, 15.666446208112875)","(93.75682539682539, 93.45862433862433, 101.20486772486773)","(27.743915343915344, 22.598095238095237, 22.886772486772486)",90,0,0.9951171875
0,0,0,0,0,N/A,darkslategray,"(63.052411319250695, 60.98644878437624, 65.1947489039458)","(105.28796333200478, 105.27281785571941, 114.63750498206457)","(17.3682742128338, 13.887405340773217, 12.593662813870068)","(105.83021123953766, 104.83838182542846, 114.14667198086887)","(23.723196492626546, 19.947190115583897, 19.401155838979673)",90,0,0.994140625
0,0,0,0,0,N/A,darkslategray,"(53.538642152180834, 51.17140241961159, 53.58397007322509)","(83.3036398467433, 81.65325670498085, 87.75558748403576)","(23.704603174603175, 19.19825396825397, 16.075238095238095)","(84.87164750957854, 84.11350574712644, 90.84147509578544)","(22.623809523809523, 20.083015873015874, 20.07174603174603)",90,0,0.9970703125
