time,x,y,z,angle_xz,tag,color,rgb,servo_angle
0,0,0,0,0,N/A,black,"(26.30354496047431, 26.15351202239789, 26.000699934123848)",0
0,0,0,0,0,N/A,black,"(1.7263961134556876, 2.77739473942487, 8.002465894592207)",0
0,0,0,0,0,N/A,black,"(10.758258115597783, 8.263890208498285, 11.330007917656374)",0
0,0,0,0,0,N/A,black,"(15.682965361593563, 12.161122559120793, 17.13817093513885)",0
0,0,0,0,0,N/A,black,"(17.662712281565344, 14.115235047994092, 19.937071129707114)",0
0,0,0,0,0,N/A,black,"(18.87250984309808, 15.022418757712876, 21.163620693032456)",0
0,0,0,0,0,N/A,black,"(17.848268367778157, 14.089569959551648, 20.06077314712334)",0
0,0,0,0,0,N/A,black,"(14.580448371198461, 13.623592579236286, 17.959460271667268)",0
0,0,0,0,0,N/A,black,"(16.805691699604743, 15.843586956521738, 21.392924901185772)",0
0,0,0,0,0,N/A,black,"(18.248746602827623, 17.858432345986675, 24.170864279897568)",0
0,0,0,0,0,N/A,black,"(18.40401874750698, 18.358356601515755, 24.71842840047866)",0
0,0,0,0,0,N/A,black,"(17.53594941455894, 17.574513521396725, 23.65948581190883)",0
0,0,0,0,0,N/A,black,"(17.095777581418833, 16.982190945047545, 22.891841285870573)",0
0,0,0,0,0,N/A,black,"(16.86972678065126, 16.79898401924564, 22.900463957384655)",0
0,0,0,0,0,N/A,black,"(16.89438235511805, 16.742833881387654, 22.87182930310752)",0
0,0,0,0,0,N/A,black,"(16.47747766640104, 16.342500943673194, 22.472539110011326)",0
0,0,0,0,0,N/A,black,"(13.77019076305221, 13.68379518072289, 18.894528112449798)",0
0,0,0,0,0,N/A,black,"(10.009654837042966, 10.067837134144488, 13.918708906156604)",0
0,0,0,0,0,N/A,black,"(6.133842898141795, 5.940581908838792, 7.886381864388764)",0
0,0,0,0,0,N/A,black,"(7.513574660633484, 6.741413403641287, 7.821632165888766)",0
0,0,0,0,0,N/A,black,"(3.6020477156379793, 3.298069802633697, 3.9262049647445183)",0
0,0,0,0,0,N/A,black,"(1.012950390759171, 1.2385263523914123, 1.433634547944857)",0
0,0,0,0,0,N/A,black,"(0.9393769911504425, 1.1713309734513275, 1.3790654867256638)",0
0,0,0,0,0,N/A,black,"(2.962241933017281, 3.3063373604526687, 4.023061630218688)",0
0,0,0,0,0,N/A,black,"(1.9897612447464903, 2.348087871471579, 2.9552073087126294)",0
0,0,0,0,0,N/A,black,"(2.638550757923748, 3.063153557242833, 3.5077818908914047)",0
0,0,0,0,0,N/A,black,"(2.4915011240924336, 2.7698780083293406, 2.7430951240187227)",0
0,0,0,0,0,N/A,black,"(5.205170987914049, 5.569102476676871, 6.180850369252644)",0
0,0,0,0,0,N/A,black,"(13.072510690962131, 13.293575109303807, 14.119797709684667)",0
0,0,0,0,0,N/A,black,"(17.897303162058503, 17.542998870979364, 18.89681872412661)",0
0,0,0,0,0,N/A,black,"(21.8615735965817, 20.879888839775386, 21.571063143591505)",0
0,0,0,0,0,N/A,black,"(20.29468451523072, 19.491372922620936, 20.628730325459447)",0
0,0,0,0,0,N/A,black,"(21.297130108072324, 20.35664296584158, 21.939184599908867)",0
0,0,0,0,0,N/A,black,"(21.472466033936325, 21.20998207169622, 22.643405188162223)",0
0,0,0,0,0,N/A,black,"(24.50391646009342, 23.409984654558944, 25.031727964115277)",0
0,0,0,0,0,N/A,black,"(25.421318923384042, 24.117242892544915, 25.572089901562606)",0
0,0,0,0,0,N/A,black,"(28.74573897701189, 28.071054164239953, 29.79575781972661)",0
0,0,0,0,0,N/A,black,"(31.024736394557824, 30.81812925170068, 32.94590986394558)",0
0,0,0,0,0,N/A,black,"(28.705816995958592, 29.621095886925435, 29.844501270095712)",0
0,0,0,0,0,N/A,black,"(27.328616523843312, 28.382466386478175, 28.427755944908395)",0
0,0,0,0,0,N/A,black,"(26.26234657723453, 27.404569538565298, 27.791927086942263)",0
0,0,0,0,0,N/A,black,"(26.706837505266684, 27.687418298888325, 28.40624223501831)",0
0,0,0,0,0,N/A,black,"(28.059733814572525, 28.69199751861042, 29.270674486803518)",0
0,0,0,0,0,N/A,black,"(23.470603830506924, 24.52079352744892, 25.12041870457558)",0
0,0,0,0,0,N/A,black,"(26.3179856679569, 27.266332775394915, 28.232333403075636)",0
0,0,0,0,0,N/A,darkslategray,"(39.33345651638334, 39.361624373819495, 41.90346554980702)",0
0,0,0,0,0,N/A,darkslategray,"(39.039351851851855, 39.81539351851852, 42.807870370370374)",0
0,0,0,0,0,N/A,darkslategray,"(36.983003663003664, 38.38300366300366, 41.77443223443223)",0
0,0,0,0,0,N/A,darkslategray,"(35.15845871559633, 37.38469724770642, 40.046642201834864)",0
0,0,0,0,0,N/A,darkslategray,"(35.34443277310925, 38.19356617647059, 41.29262079831933)",0
0,0,0,0,0,N/A,black,"(31.467650998349065, 31.378866461078402, 32.081550010902404)",0
0,0,0,0,0,N/A,darkslategray,"(35.882546418369586, 38.90390161502966, 42.559925016479895)",0
